authorId,authorName,content,waktu,newContent
6702216612,anca009,"Sudah 4x pulang balik urus id terblokir. Input id sama passnya sudah benar, 100% benar. Padahal baru login pertama. Payah appnya, bsok ke bank lagi deh yg ke-5 kalinya.",2020-11-30T04:38:26-07:00,pulang urus id blokir input id passnya login payah appnya bsok bank deh yg kali
6702087002,abbagahahaiak,Kenapa gabisa login ya? Udah dicoba berkali kali tetep gabisa,2020-11-30T03:51:16-07:00,gabisa login udah coba kali kali tetep gabisa
6701943582,mlyrzls,"Tolong dong buat tambahin fitur cek saldo brizzi, saya sebagai pengguna iphone yg sudah ada NFC tapi tidak bisa cek saldo brizzi, sedangkan di bank lainnya sudah dari lama menggunakan fitur cek saldo buat e-money dan kartu lainnya. Mohon untuk di update lagi. Terimakasih",2020-11-30T02:51:48-07:00,tambahin fitur cek saldo brizzi guna iphone yg nfc cek saldo brizzi bank fitur cek saldo e money kartu mohon update terimakasih
6701533779,benz.zzz,sangat disayangkan setelah update sangat sering akun saya terblokir setelah update sering eror untuk login,2020-11-29T23:42:57-07:00,sayang update akun blokir update eror login
6701321405,SAYAMAUDAFTAR,kenapa saya mau daftar keluar sendiri terus pas isi password,2020-11-29T21:52:32-07:00,daftar pas isi password
6701281598,inem baru,Kenapa tidak bisa log in yah ? Berapa kali coba keterangannya koneksi terputus..padahal buka aplikasi yang lain aman2 saja,2020-11-29T21:31:25-07:00,log in yah kali coba terang koneksi putus buka aplikasi
6701256708,rini157,"Buffering terus padahal koneksi bagus, tolong diperbaiki lagi saya mau transfer ini!!!!!!",2020-11-29T21:18:26-07:00,buffering koneksi bagus baik transfer
6701253051,dyahmu,Kenapa saya tidak bisa logis ke BRImo ada tulisan koneksi terputus padahal sinyal bagus2 aja pass dan namanya sudah benar,2020-11-29T21:16:33-07:00,logis brimo tulis koneksi putus sinyal aja pass nama
6701232674,rivaldy juliando,Kenapa saya gabisa login,2020-11-29T21:06:09-07:00,gabisa login
6701219217,BonjourSella,"Aplikasi sampah, mo login aja gabisa. Koneksi terputus... jgn ngada2 deh, tolong dibenerin dong dah dr kapan taun ky gini. Kl ga terpaksa jg ogah pake ni bank",2020-11-29T20:59:22-07:00,aplikasi sampah mo login aja gabisa koneksi putus jgn deh dibenerin dah dr taun ky gin kl ga paksa jg ogah pake ni bank
6701213458,cirp_cirp,"Kenapa susah log in? Padahal sudah pake berbagai jenis koneski, sedangkan applikasi banking dari Bank Lain cepat.. mohon perbaikannya dong min...",2020-11-29T20:56:30-07:00,susah log in pake jenis koneski applikasi banking bank cepat mohon baik min
6701197075,Kendro Prasetyo,Sering tidak bisa login / koneksi terputus.. ketika koneksi terputus 3x malah id terblokir (dianggap passwordnya yang salah) Harap segera diperbaiki,2020-11-29T20:48:12-07:00,login koneksi putus koneksi putus id blokir anggap passwordnya salah harap baik
6701151657,yunan ahmad,Aplikasi busuk,2020-11-29T20:25:45-07:00,aplikasi busuk
6701145356,write a review xxx,"Tolong dong, ini gimana sih gabisa buat login, mana tulisannya salah password sampe ke blokir.",2020-11-29T20:22:45-07:00,gimana sih gabisa login tulis salah password sampe blokir
6701116861,Hernucahya,"Sering bgt tengah transaksi tiba2 koneksi terputus lah, sama error2 yg lainnya. Sampe2 harus punya bri mobile jadul buat backup ??? Jan salahin internetku, internetku baik2 aja, yg jelas dr server sononya!",2020-11-29T20:08:38-07:00,bgt transaksi koneksi putus yg bri mobile jadul backup jan salahin internetku internetku aja yg dr server sono
6700736868,elbarraq,"Katanya udah compatible sama ios 14, tapi tetep aja ngebugs",2020-11-29T17:12:51-07:00,udah compatible ios tetep aja ngebugs
6700151698,Mu'arif,Aplikasi bangsuaaaat... Mau transer katanya server error... Bajinguaaaan.... Aplikasi buangsuaaaaaat.... aplikasi tuaaaaaiiiiiii.... Cari mToken aja susah... buajingan... admin asuuuuu....,2020-11-29T12:57:38-07:00,aplikasi bangsuaaaat transer server error bajinguaaaan aplikasi buangsuaaaaaat aplikasi tuaaaaaiiiiiii cari mtoken aja susah buajingan admin asuuuuu
6698043467,Propertyofran,"Saya mau daftar tapi, selalu force closed. Tolong diperbaiki. Device: iphone 7+",2020-11-29T00:12:29-07:00,daftar force closed baik device iphone
6697971183,Doni Wahyu,"Update terbaru malah Tidak ada sms verifikasi yg masuk saat login ulang,, tidak bisa login dri kmaren, sdah sya coba berkali2 #Ip 6s",2020-11-28T23:40:53-07:00,update baru sms verifikasi yg masuk login ulang login dri kmaren sdah sya coba ip
6697450442,kdlslla,Parah susah banget log in keluar terus !!,2020-11-28T19:47:46-07:00,parah susah banget log in
6696733641,diels490,"Masih suka tiba2 terputus, trus error, padahal pke sinyal plat merah juga di aplikasi lain lancar cuma di brimo please fix this",2020-11-28T14:56:30-07:00,suka putus trus error pke sinyal plat merah aplikasi lancar brimo please fix this
6695748337,01sigit,"Kadang koneksinya terputus sendiri, mau cek/transaksi keseringan harus ulang dari awal karna koneksi tiba2 putus.  Dan 1 lagi, password login sama password transaksi di bedain dong. Untuk password transaksi pake angka 6 digit aja. Supaya lebih mudah.",2020-11-28T08:31:36-07:00,kadang koneksi putus cek transaksi sering ulang karna koneksi putus password login password transaksi bedain password transaksi pake angka digit aja mudah
6695379332,Reendilan,Tolong diperbaiki lagi agar lebih maksimal ga error error terus ?,2020-11-28T06:33:15-07:00,baik maksimal ga error error
6695071567,Ozorra19,"Hampir tiap minggu keblokir reset lgi keblokir lgi jelas2 pin g pernah kliru, enakan pakai BCA mobile cepat jelas g banyak aturan tp tetep aman",2020-11-28T04:53:51-07:00,minggu blokir reset lgi blokir lgi pin g kliru enak pakai bca mobile cepat g atur tp tetep aman
6694056831,tiasolistia,Transaksi cepat tapi kadang suka logout sendiri jd harus masuk2 lg ke akun nya,2020-11-27T22:13:26-07:00,transaksi cepat kadang suka logout jd lg akun nya
6693179536,dexdy,"Payah nyediaâin aplikasi tapi gak bisa di gunain ama cust buat apa dong, tolong kalau bisa segera perbaiki jangan nyediaâin aplikasi gak guna gini",2020-11-27T16:16:39-07:00,payah nyediain aplikasi gak gunain ama cust baik nyediain aplikasi gak gin
6691087050,shell shaquella,Saya JuGa Nggak Bisa Login Atau Daftar Tulisannya Koneksi Terputus Kalau Nggak Tidak Cocok,2020-11-27T04:05:19-07:00,login daftar tulis koneksi putus cocok
6690921913,RukoGreen,Asik pake Brimo,2020-11-27T03:04:34-07:00,asik pake brimo
6690624951,Rustandi07,Ganti bca aja jangan bri,2020-11-27T01:10:34-07:00,ganti bca aja bri
6690460778,yusufsoen,Cepat singkat,2020-11-27T00:00:58-07:00,cepat singkat
6690415010,lintashuuu,Kenapa ketika saya daftar dan memasukkan kata sandi selalu langsung keluar?,2020-11-26T23:40:33-07:00,daftar masuk sandi langsung
6690188260,Edbertjunior,Memudahkan sih tapi App suka crash dan muncul pesan error. Gak seperti Bank Biru yang kinerjanya was wus was wus cepet banget. Ayo dong BUMN jangan mau kalah sama swasta.,2020-11-26T21:56:47-07:00,mudah sih app suka crash muncul pesan error gak bank biru kerja was wus was wus cepet banget ayo bumn kalah swasta
6689351927,ichra nug,Selalu force close pas isi password,2020-11-26T15:38:16-07:00,force close pas isi password
6686910332,kayeennnn,tiap mau daftar keluar2 sendiri ih appnya,2020-11-26T00:05:34-07:00,daftar ih appnya
6686273273,Theyqifli,"Gimana sih ini aplikasinya keluar-keluar sendiri baru login masuk malah keluar dengan sendirinya. Gak seperti mbanking bank lain lancar""",2020-11-25T19:00:06-07:00,gimana sih aplikasi login masuk gak mbanking bank lancar
6686207621,user12):$:&,Sering koneksi terputus,2020-11-25T18:32:14-07:00,koneksi putus
6685829105,syafitri ayu santi,Setiap mau isi password keluar sendiri.,2020-11-25T15:41:20-07:00,isi password
6684710836,fajrinalkhomsa,"Kenapa saya tidak bisa mendaftar. Dengan pemberitahuan no connection. Padahal buka app lain bisa, seperti BRI Credit card app",2020-11-25T08:18:42-07:00,daftar pemberitahuan no connection buka app bri credit card app
6684558188,abu janda,"Payah banget njing lah . Login susah , udah masuk force close ... tolol",2020-11-25T07:29:29-07:00,payah banget njing login susah udah masuk force close tolol
6684356644,ISNAVERRY,Sudah berkali kali ya wahai BRI saya melakukan tarik tunai di salah satu mesin ATM dari Aplikasi BRIMO tetapi uang tidak keluar dan saldo terdebet.,2020-11-25T06:23:39-07:00,kali kali bri tarik tunai salah mesin atm aplikasi brimo uang saldo debet
6621946388,rinoset,saya mau daftar tapi kode UTP tidak pernah saya terima,2020-11-08T02:54:58-07:00,daftar kode utp terima
6618559532,Mella D. Putri,"Terimakasih BRI M-Banking karena sangat memudahkan ketika transaksi, tepat, cepat dan nyaman.",2020-11-07T04:43:22-07:00,terimakasih bri m banking mudah transaksi cepat nyaman
6617443414,bp64531,Selalu crash pada saat menu pembuatan password utk user baru. Mohon di cek ya.,2020-11-06T20:52:36-07:00,crash menu buat password utk user mohon cek
6617099752,wardha dj,Good aplication,2020-11-06T18:23:14-07:00,good aplication
6616907106,jehrjdie,Kenapa sering sekali akun terblokir Pernah sudah reset pasword dan login pakai pasw baru masih terblokir lagi...menyusahkan user nih,2020-11-06T17:06:43-07:00,akun blokir reset pasword login pakai pasw blokir susah user nih
6616586340,aya styan,"Kok sekarang susah sekali pake aplikasi brimo,selalu error,setiap abis masukin kode password selalu error,ini sangat merugikan sy karena setiap transaksi gara2 error saya sampai transfer 2x 3x saldo sy berkurang tp gak ad keterangan trnsfer nya.tulisan nya error terus.tolong diperbaiki dong",2020-11-06T14:57:09-07:00,susah pake aplikasi brimo error abis masukin kode password error rugi sy transaksi error transfer saldo sy kurang tp gak ad terang trnsfer nya tulis nya error baik
6616377820,shdico,Keluar terus tiap buat akun tolong diperbaiki,2020-11-06T13:27:28-07:00,akun baik
6615514958,salmasyanindita,Error mulu tiap mau melakukan transaksi mohon diperbaiki:(((,2020-11-06T08:18:19-07:00,error mulu transaksi mohon baik
6615154233,lolalimilani,"Tolong dong diperbaiki sistemnya,masa tiap login,tiba2 logout sendiri, belom juga transaksi,uda logout sendiri. Gini terus masalahnya. Tolong segera diperbaiki.",2020-11-06T06:24:23-07:00,baik sistem login logout bom transaksi uda logout gin baik
6614943562,gadingmahen,Kenapa pada iphone x tidak bisa langsung top-up brizzi padahal iphone x sudah support nfc,2020-11-06T05:19:51-07:00,iphone x langsung top up brizzi iphone x support nfc
6614644201,Rezki56,Aplikaai sangat membatu tapi kurangnya kadang2 keluar snediri,2020-11-06T03:49:31-07:00,aplikaai batu kurang snediri
6614360292,Rizky Mandera,Sering mengalami kendala koneksi sejak update ios 14. Mohon segera diperbaiki. Terima kasih,2020-11-06T01:56:20-07:00,alami kendala koneksi update ios mohon baik terima kasih
6613924669,romi tan,Tiap updete eror,2020-11-05T22:28:50-07:00,updete eror
6613553272,rizaldyy,"Katanya coba di lain waktu jaringan terputus padahal wifi saya ngebut + hp saya xs max, selain itu for close terus di ios 14",2020-11-05T19:20:23-07:00,coba jaring putus wifi ngebut hp xs max for close ios
6613485379,don sami,"udah 1 minggu gak bisa log in padahal password udah bener, udah ganti password tetap aja gak bisa masuk. tolong diperbaiki lagi sistemnya",2020-11-05T18:48:49-07:00,udah minggu gak log in password udah bener udah ganti password aja gak masuk baik sistem
6613220724,graciaputra,"Timeout terus, keterangan user sedang dipakai padahal pakai web lancar",2020-11-05T16:51:40-07:00,timeout terang user pakai pakai web lancar
6612942749,plenyoen,sering keluar notif kesalahan sistem. yang akhirnya akun terblokir... mohon untuk di tinjau lagi biar tidak merepotkan orang bolak balik ke CS,2020-11-05T14:48:27-07:00,notif salah sistem akun blokir mohon tinjau biar repot orang bolak cs
6611714580,chrisnjhon7777,Kok mau bikin password aja gbsa2 ya? Keluar sendiri terus ni app,2020-11-05T07:02:59-07:00,bikin password aja ni app
6610937165,mang amung,Mau registrasi force close terus app nya,2020-11-05T02:31:09-07:00,registrasi force close app nya
6610581580,atiqa92,Maaf kenapa kode verivikasi  tidak kunjung masuk ke hp sy,2020-11-04T23:47:00-07:00,maaf kode verivikasi kunjung masuk hp sy
6610380698,Superbarry,"Tried so many times to open account and always end up on creating passwordâs page. It quitted unexpectedly, and I have to repeat the process all over again and stuck on the same page.",2020-11-04T22:03:43-07:00,tried so many times to open account and always end up on creating passwords page it quitted unexpectedly and i have to repeat the process all over again and stuck on the same page
6610146838,FPU11,"Mau transfer tapi gagal terus
Aplikasinya kurang maksimal",2020-11-04T19:59:30-07:00,transfer gagal aplikasi maksimal
6607700873,Mayonk,"Entah sudah berapa kali saya terpaksa ganti password gara-gara diblokir, padahal password yang Saya masukkan sudah benar bahkan dengan memakai face id sekalipun. Saya tidak pernah mendapatkan permasalahan seperti ini di mobile banking bank2 lain yang Saya gunakan.",2020-11-04T03:39:40-07:00,kali paksa ganti password gara gara blokir password masuk pakai face id masalah mobile banking
6607574836,jaygung,kenapa kode OTP gak ada dikirim,2020-11-04T02:49:35-07:00,kode otp gak kirim
6606597050,wari23,Finally gak pelu nomor token lagi ?,2020-11-03T18:47:37-07:00,finally gak pelu nomor token
6606381337,grans xaverius,Aplikasi selalu force close !!!,2020-11-03T17:13:06-07:00,aplikasi force close
6606141490,asyifa putri,Dari kemaren mau login tinggal nunggu kode nya di kirim ke nomor hp saya tapi gak masuk masuk?,2020-11-03T15:24:53-07:00,kemaren login tinggal nunggu kode nya kirim nomor hp gak masuk masuk
6606041390,puutrifn,"kenapa waktu login trus disuruh nulis email. dan disitu tulisannya akan dikirim kode verifikasi, tapi ditunggu lama kode nya jg tidak ada",2020-11-03T14:39:41-07:00,login trus suruh nulis email situ tulis kirim kode verifikasi tunggu kode nya jg
6604750767,syinr,"Maaf, ini ko saldo saya 0 ajah yah, padahal pas bikin atmnya itu udah diisi 100.000 , itu kenapa yahh . Tolong dijawab",2020-11-03T06:40:40-07:00,maaf ko saldo ajah yah pas bikin atmnya udah isi yahh
6604539660,akbar.naf,"Lebih dari sehari kalau ga login, begitu login akun sudah langsung terblokir. Padahal user dan password tidak salah. Jawabannya pasti reset password aja, masak tiap kali mau pakai harus reset password?",2020-11-03T05:34:49-07:00,hari ga login login akun langsung blokir user password salah jawab reset password aja masak kali pakai reset password
6604413866,kyindy,Memang terbaik,2020-11-03T04:53:23-07:00,baik
6604357443,wijayanti sugi,Puas banget,2020-11-03T04:33:39-07:00,puas banget
6604163884,digital.ant27,"Woow.. hebat, tiba tiba terblokir, harus reset password. Langsung isi pulsa agar bisa terima sms token, ga taunya sms token gagal terus, tidak pernah bisa terkirim, tapi pulsa sms terkuras... MANTAAAP bri, LANJOOOOTKANN!!!! ??????????????????????????????????",2020-11-03T03:21:32-07:00,woow hebat blokir reset password langsung isi pulsa terima sms token ga tau sms token gagal kirim pulsa sms kuras mantaaap bri lanjooootkann
6603983914,bay.sky,Kode verif gak keluar dahlah,2020-11-03T02:06:54-07:00,kode verif gak dah
6603918718,sibatanghitam,Tai burikkk,2020-11-03T01:35:49-07:00,tai burikkk
6603836609,yaz in,keseringan koneksi terputus ..akun baru di buka blokirannya . udah ke blokir lagi .kudu ke kantor lagi untuk buka blokirannya .,2020-11-03T00:56:55-07:00,sering koneksi putus akun buka blokir udah blokir kudu kantor buka blokir
6603751319,pu+ra,SANGAT TIDAK MEMUASKAN TIDAK BISA LOGIN DI BUAT KONEKSI TERPUTUS .SAYA PAKAI WIFI 20mbps SENDIRIAN DAN PAKAI KARTU PAKET TELKOMSEL YG BARU SAJA DI ISI .TAPI TETAP TIDAK ADA KONEKSI .BUKA YOUTUBE MBAKING BNI MBAKING BCA SEMUA BISA .TOLONG DIPERBAIKI LA SISTEMNYA,2020-11-03T00:16:25-07:00,muas login koneksi putus pakai wifi pakai kartu paket telkomsel yg isi koneksi buka youtube mbaking bni mbaking bca baik la sistem
6603743728,KinKin Nz,Tidak bisa dibuka di ios 14,2020-11-03T00:12:49-07:00,buka ios
6603741813,dimasrlutfi,Terputus terus,2020-11-03T00:11:48-07:00,putus
6603719808,konsumen aktif,"Aplikasi bangke, kenapa kalo mau transaksi koneksi terputus terus Maluâin nama besar BRI Aplikasi bikin kesel, gak mutu Tolong dong di perbaiki",2020-11-03T00:01:08-07:00,aplikasi bangke kalo transaksi koneksi putus maluin nama bri aplikasi bikin kesel gak mutu baik
6603675620,Realhuman123,"Udah 1 bulan semenjak update ios 14, nge-bugs gak jelas.  Team support untuk IT BRI kemana? Transaksi susah banget Aplikasi bank lain fine aja.  Update dong hai BRIMO",2020-11-02T23:40:11-07:00,udah semenjak update ios nge bugs gak team support it bri transaksi susah banget aplikasi bank fine aja update hai brimo
6603650644,MasHennnn,"ini kenapa bug nya makin parah ? mau cek saldo, mau tf ga bisa mulu , koneksi terputus lagi dan lagi. padahal koneksi internet sangat lancar",2020-11-02T23:27:58-07:00,bug nya parah cek saldo tf ga mulu koneksi putus koneksi internet lancar
6603649898,khalil al-khalidi,"Udah mulai lambat aplikasi brimo, selalu keluar koneksi terputus padahal jaringan nya bagus buka youtube aman-aman saja. Mohon di perbaiki lagi",2020-11-02T23:27:34-07:00,udah lambat aplikasi brimo koneksi putus jaring nya bagus buka youtube aman aman mohon baik
6603637595,chintyaar,tolong dong dibenerin server nya gabisa login mulu seminggu ini kenapa sih tolong aplikasinya dibenerin lg mas mba,2020-11-02T23:21:22-07:00,dibenerin server nya gabisa login mulu minggu sih aplikasi dibenerin lg mas mba
6603632017,evi726,Jelek banget aplikasinya Lemoooot pol,2020-11-02T23:18:31-07:00,jelek banget aplikasi lemoooot pol
6603627474,Matthew Gracious,jaringannya perbaiki lah buat ios lalot bet dah dah dah,2020-11-02T23:16:14-07:00,jaring baik ios lalot bet dah dah dah
6603580594,Je.o,"Server sering banget error, sedikit2 gangguan. padahal lancar2 aja sinyalnya.",2020-11-02T22:52:41-07:00,server banget error ganggu aja sinyal
6603569514,Fansard,"Kenapa ketika transaksi sering lost koneksi, padahal bar sinyal di hp penuh semua. Hari ini udh nyoba terus jg masih lost koneksi.",2020-11-02T22:46:54-07:00,transaksi lost koneksi bar sinyal hp penuh udh nyoba jg lost koneksi
6603525922,annaafi,Susah login bos,2020-11-02T22:24:48-07:00,susah login bos
6603515635,Azis96,Sudah dari tanggal 1 November 2020 sampai saat ini ulasan saya tulis tanggan 3 November 2020 seringkali aplikask brimo menyatakan bahwa koneksi terputus. Jujur ini sangat mengecewakan,2020-11-02T22:19:29-07:00,tanggal november ulas tulis tanggan november seringkali aplikask brimo koneksi putus jujur kecewa
6759175367,pipriy,Ko punya KU kode verifikasi nya ga muncul2 ya mau masuk ke APP nya tapi ga bisa,2020-12-16T04:21:23-07:00,ko ku kode verifikasi nya ga masuk app nya ga
6759175158,&);$,Saat akan mendaftar BRIMo (Transaksi gagal : kode SICX) mohon infonya?,2020-12-16T04:21:18-07:00,daftar brimo transaksi gagal kode sicx mohon info
6759167003,MAZRI ABDILLAH,Dari tadi login Link dari BRImo akan di kirim ke no handphone anda Sampe sekarang ga di kirim kirim Payah !,2020-12-16T04:18:07-07:00,login link brimo kirim no handphone sampe ga kirim kirim payah
6759156060,prandeska,"Kenapa setelah update App BRImo aku gag bisa login lagi, katanya link aktifasi dikirimkan ke nomor anda tapi gag ad sms dr BRI nya, padahal nomor udah benar ,, tolong lah di fix secepatknya",2020-12-16T04:13:57-07:00,update app brimo gag login link aktifasi kirim nomor gag ad sms dr bri nya nomor udah fix secepatknya
6759131049,F Dhani,"Ini kenapa jadi nggak bisa log in abis update ya.,? Stuck di cek inbox terus, ndak bisa masuk...Segera perbaiki",2020-12-16T04:04:21-07:00,log in abis update stuck cek inbox ndak masuk baik
6759125846,shiaoojn,aplikasi abis di update malah waktu login suruh masukin kode. tapi kodenya gak dikirim. gimana sih???,2020-12-16T04:02:23-07:00,aplikasi abis update login suruh masukin kode kode gak kirim gimana sih
6759098310,@giantcux,"Apdet terbaru mau login tapi gak bisa, nomor juga sudah teregistrasi, nunggu notif sms OTP utk login 5 menit tidak terkirim-kirim, ulang lagi begitu teruuusss ampe widodo redmi tobat jadi widodo aipon ?",2020-12-16T03:51:49-07:00,apdet baru login gak nomor registrasi nunggu notif sms otp utk login menit kirim kirim ulang teruuusss ampe widodo redmi tobat widodo aipon
6759069118,parahmex,"kenapa skarang sulit skali, saya mau top up saldo shopee kenapa gak bisa di briva di arahkan ke dompet digital tapi gak bisa juga, aplikasi semakin membingungkan, mending versi lama aja",2020-12-16T03:40:04-07:00,skarang sulit skali top up saldo shopee gak briva arah dompet digital gak aplikasi bingung mending versi aja
6758993801,Syawaludin Soleh,"âKeterangan user anda sedang login pada device lainâ 
Laah kok bisa ? Padahal saya tidak melakukan login di perangkat yg lain. Apakah ada yg lain buka ? Knpa bisa tau user dan pin saya ? Tolong pencerahan nya ??",2020-12-16T03:08:30-07:00,terang user login device laah login perangkat yg yg buka knpa tau user pin cerah nya
6758975272,deewpwee,"Please, tolong tetap support iOS 10 kedepannya ???",2020-12-16T03:00:38-07:00,please support ios depan
6758969395,Ichacul,Setelah update terbaru tidak mendapat sms link dr brimo d nomor yg sudah terdaftar. Mohon segera diperbaiki.,2020-12-16T02:58:12-07:00,update baru sms link dr brimo d nomor yg daftar mohon baik
6758939465,Kanv1309,"Updatean yang terbaru ini aplikasi semakin stabil dan user interface sangat baik dari sebelumnya dan mungkin saat ini aplikasi brimo jadi aplikasi mobile banking terbaik,mantap brimo",2020-12-16T02:46:01-07:00,updatean baru aplikasi stabil user interface aplikasi brimo aplikasi mobile banking baik mantap brimo
6758935056,AgusSuprianto,Memang sudah bisa di ios 14 tapi saat mau login tidak menerima sms link udah coba berkali-kali tetep nihil,2020-12-16T02:44:08-07:00,ios login terima sms link udah coba kali kali tetep nihil
6758836469,dymaskharafi,Setelah update tidak bisa login karena tidak dpt sms untuk membuka linknya,2020-12-16T02:02:23-07:00,update login dpt sms buka linknya
6758822683,zhecheva,Plisss update was actually an improvement tapi kenapa malah jadi gabisa login?,2020-12-16T01:57:13-07:00,plisss update was actually an improvement gabisa login
6758808647,Klmis,"Wah keren updatean terbarunya. Aplikasi semakin mudah digunakan, penambahan firurâ yang di ringkas semua menjadi 1. Nice ?",2020-12-16T01:50:56-07:00,keren updatean baru aplikasi mudah tambah firur ringkas nice
6758802412,sukendar,"Kenapa setelah update brimo, saya tidak mendapat sms link untuk login?  Sudah saya ulang berkali2 tp tidak ada sms masuk. Padahal versi sblmnya lancar2 saja.",2020-12-16T01:48:17-07:00,update brimo sms link login ulang tp sms masuk versi sblmnya
6758778176,salsabila rb,Kenapa tibatiba di update gabisa masuk login ke akun saya ???,2020-12-16T01:38:13-07:00,tibatiba update gabisa masuk login akun
6758740085,Pencahar,nunggu sms link login ga bisa2 sudah coba 3x,2020-12-16T01:22:41-07:00,nunggu sms link login ga coba
6758721627,Bojone Mba Dit,"Mau login suruh nunggu sms, smsnya gak masuk2.. gimana ini?",2020-12-16T01:15:14-07:00,login suruh nunggu sms smsnya gak gimana
6758717398,farizmd13,"Menunggu link ke nomer hp lama banget gak masuk2, mau transaksi jadi harus ke atm",2020-12-16T01:13:30-07:00,tunggu link nomer hp banget gak transaksi atm
6758674771,suryasgr,Mengapa link login tidak terkirim setelah update terbaru,2020-12-16T00:55:50-07:00,link login kirim update baru
6758669194,Ecl93,"Hi developer, Saya baru update app Brimo, lalu mw login di app dan disuruh klik link yg dikirimkan melalui sms tetapi link tsb tidak bisa di klik dan saya mw melakukan transaksi yg penting saat itu tetapi terkendala oleh hal tsb, mohon diperbaiki",2020-12-16T00:53:23-07:00,hi developer update app brimo mw login app suruh klik link yg kirim sms link tsb klik mw transaksi yg kendala tsb mohon baik
6758644664,yoga pratama (BALI),kenapa gangguan terus sih? saya akan ada transaksi untuk perbelanjaan penting! mohon kaji ulasan saya untuk memperbaiki system yg kalian miliki. mohon dengan sangat terlalu banyak yg mengeluh akan hal ini koneksi terputus dan masa waktu habis jangan sampai review ini banyak nasabah yg tertular!  terimakasih BRI !,2020-12-16T00:43:04-07:00,ganggu sih transaksi belanja mohon kaji ulas baik system yg milik mohon yg keluh koneksi putus habis review nasabah yg tular terimakasih bri
6758642385,makinuddin,âmaaf device anda telah di jailbreakâ ada yang ngalamin juga? Gimana cara mengatasinya?,2020-12-16T00:42:02-07:00,maaf device jailbreak ngalamin gimana atas
6758595739,Rifanimarozsan,"Setelah Update terbaru, saya login akun Brimo tidak bisa dan notifikasi SMS untuk Link Login tidak diterima (Masuk), sudah 2 hari tetap sama",2020-12-16T00:22:36-07:00,update baru login akun brimo notifikasi sms link login terima masuk
6758593508,JakFlight,Masih banyak yg harus di perbaiki suka keluar sendiri sering malah. Kaya belum sanggup untuk buat sistem mobile banking,2020-12-16T00:21:42-07:00,yg baik suka kaya sanggup sistem mobile banking
6758587255,harus ngisi nama siapa sih,"Kenapa pas log in link yang dikirimkan ke nomor tidak masuk2 , jadi ribett banget abis diperbarui aplikasinya",2020-12-16T00:18:57-07:00,pas log in link kirim nomor ribett banget abis baru aplikasi
